Player,Country,Goals
Erling Haaland,Norway,14
Mohamed Salah,Egypt,14
Dominic Solanke,England,12
Son Heung-Min,South Korea,12
Jarrod Bowen,England,11
Hwang Hee-Chan,South Korea,10
Alexander Isak,Sweden,10
Cole Palmer,England,9
Ollie Watkins,England,9
Richarlison,Brazil,7
Anthony Gordon,England,7
Nicolas Jackson,Senegal,7
João Pedro,Brazil,7
Bryan Mbeumo,Cameroon,7
Callum Wilson,England,7
Chris Wood,New Zealand,7
Julián Álvarez,Argentina,6
Leon Bailey,Jamaica,6
Matheus Cunha,Brazil,6
Abdoulaye Doucouré,Mali,6
Odsonne Édouard,France,6
Evan Ferguson,Ireland,6
Mohammed Kudus,Ghana,6
Bernardo Silva,Portugal,6
Bukayo Saka,England,6
Douglas Luiz,Brazil,6
Elijah Adebayo,England,5
Phil Foden,England,5
Raúl Jiménez,Mexico,5
Dejan Kulusevski,Sweden,5
John McGinn,Scotland,5
Scott McTominay,Scotland,5
Eddie Nketiah,England,5
Darwin Núñez,Uruguay,5
Michael Olise,France,5
Tomás Soucek,Czech Republic,5
Raheem Sterling,England,5
Diogo Jota,Portugal,5
Simon Adingra,Cote D’Ivoire,4
Zeki Amdouni,Switzerland,4
Taiwo Awoniyi,Nigeria,4
Willian,Brazil,4
Bobby De Cordova-Reid,Jamaica,4
Moussa Diaby,France,4
Anthony Elanga,Sweden,4
Lyle Foster,South Africa,4
Kai Havertz,Germany,4
Rodri,Spain,4
Mario Lemina,Gabon,4
Carlton Morris,England,4
Marcus Rashford,England,4
Yoane Wissa,DR Congo,4
Martin Ødegaard,Norway,4
Miguel Almirón,Paraguay,3
Cameron Archer,England,3
Bruno Fernandes,Portugal,3
Josh Brownhill,England,3
Dominic Calvert-Lewin,England,3
Gabriel Jesus,Brazil,3
Luis Díaz,Colombia,3
Eberechi Eze,England,3
Cody Gakpo,Netherlands,3
Alejandro Garnacho,Argentina,3
Jack Grealish,England,3
Pascal Groß,Germany,3
Alex Iwobi,Nigeria,3
Mathias Jensen,Denmark,3
James Maddison,England,3
Solly March,England,3
Oliver McBurnie,Scotland,3
Kaoru Mitoma,Japan,3
Mykhailo Mudryk,Ukraine,3
Wilson Odobert,France,3
Declan Rice,England,3
Cristian Romero,Argentina,3
Antoine Semenyo,Ghana,3
Leandro Trossard,Belgium,3
James Ward-Prowse,England,3
Manuel Akanji,Switzerland,2
Nathan Aké,Netherlands,2
Trent Alexander-Arnold,England,2
Carlos Vinícius,Brazil,2
Joachim Andersen,Denmark,2
Michail Antonio,Jamaica,2
Joelinton,Brazil,2
Jordan Ayew,Ghana,2
Ross Barkley,England,2
Jean-Ricner Bellegarde,France,2
Philip Billing,Denmark,2
Sven Botman,Netherlands,2
Jacob Brown,Scotland,2
Jacob Bruun Larsen,Denmark,2
Dan Burn,England,2
Matty Cash,Poland,2
Jérémy Doku,Belgium,2
Nicolás Domínguez,Argentina,2
Jhon Durán,Colombia,2
Pervis Estupiñán,Ecuador,2
Ansu Fati,Spain,2
Enzo Fernández,Argentina,2
