Player,Nation,Goals
Alan Shearer,,260
Harry Kane,,213
Wayne Rooney,,208
Andrew Cole,,187
Sergio Agüero,,184
Frank Lampard,,177
Thierry Henry,,175
Robbie Fowler,,163
Jermain Defoe,,162
Mohamed Salah,Egypt,153
Michael Owen,,150
Les Ferdinand,,149
Teddy Sheringham,,146
Robin van Persie,,144
Jamie Vardy,,136
Jimmy Floyd Hasselbaink,,127
Robbie Keane,,126
Nicolas Anelka,,125
Dwight Yorke,,123
Romelu Lukaku,,121
Steven Gerrard,,120
Raheem Sterling,England,120
Son Heung-Min,South Korea,115
Ian Wright,,113
Dion Dublin,,111
Sadio Mané,,111
Emile Heskey,,110
Ryan Giggs,,109
Peter Crouch,,108
Paul Scholes,,107
Darren Bent,,106
Didier Drogba,,104
Cristiano Ronaldo,,103
Matthew Le Tissier,,100
Emmanuel Adebayor,,97
Yakubu,,95
Ruud van Nistelrooij,,95
Dimitar Berbatov,,94
Kevin Phillips,,92
Mark Viduka,,92
James Beattie,,91
Ole Gunnar Solskjaer,,91
Olivier Giroud,,90
Kevin Davies,,88
Dennis Bergkamp,,87
Christian Benteke,,86
Callum Wilson,England,86
Eden Hazard,,85
Louis Saha,,85
Fernando Torres,,85
Carlos Tevez,,84
Kevin Campbell,,83
Chris Sutton,,83
Roberto Firmino,,82
Riyad Mahrez,,82
Craig Bellamy,,81
Marcus Rashford,England,80
Gary Speed,,80
Theo Walcott,,80
Tony Cottee,,78
Daniel Sturridge,,76
Gabriel Agbonlahor,,74
Gabriel Jesus,Brazil,72
Chris Armstrong,,71
Brian Deane,,71
Eric Cantona,,70
Danny Ings,England,70
Pierre-Emerick Aubameyang,,69
Kevin Nolan,,69
Luis Suárez,,69
Duncan Ferguson,,68
Wilfried Zaha,,68
Gylfi Sigurdsson,,67
Paolo Di Canio,,66
Kevin De Bruyne,Belgium,65
Mark Hughes,,64
Danny Welbeck,England,64
Michail Antonio,,63
Dean Holdsworth,,63
Anthony Martial,France,63
Alexis Sánchez,,63
Chris Wood,New Zealand,63
David Beckham,,62
Stan Collymore,,62
Robert Pirès,,62
Yaya Touré,,62
David Silva,,60
Niall Quinn,,59
Gianfranco Zola,,59
Peter Beardsley,,58
Lee Bowyer,,57
Clint Dempsey,,57
Harry Kewell,,57
Tim Cahill,,56
Richarlison,Brazil,56
Jason Euell,,56
Kevin Gallacher,,56
Shane Long,,56
Eidur Gudjohnsen,,55
John Hartson,,55
James Milner,England,55
Andy Carroll,,54
Damien Duff,,54
Christian Eriksen,Denmark,54
Kanu,,54
Alexandre Lacazette,,54
Gustavo Poyet,,54
Diogo Jota,Portugal,54
Gareth Bale,,53
Nick Barmby,,53
Gareth Barry,,53
Diego Costa,,53
Steven Fletcher,,53
Chicharito,,53
Joshua King,,53
James Ward-Prowse,England,53
Carlton Cole,,52
Efan Ekoku,,52
Juan Mata,,52
Trevor Sinclair,,52
Darius Vassell,,52
Dele Alli,England,51
Andrew Johnson,,51
Dirk Kuijt,,51
Mark Bright,,50
Dominic Calvert-Lewin,England,50
Edin Dzeko,,50
Cesc Fàbregas,,50
Erling Haaland,Norway,50
Danny Murphy,,50
Paulo Wanchope,,50
Gary McAllister,,49
Nolberto Solano,,49
Ollie Watkins,England,49
Ashley Young,England,49
Freddie Ljungberg,,48
Ian Rush,,48
Willian,Brazil,47
Bruno Fernandes,Portugal,47
Philippe Coutinho,,47
Troy Deeney,,47
Mark Noble,,47
Bobby Zamora,,47
Joe Cole,,46
James Maddison,England,46
Paul Merson,,46
Jay Rodríguez,England,46
Robbie Earle,,45
Raúl Jiménez,Mexico,45
Ayoze Pérez,,45
Dean Saunders,,45
Alan Smith,,45
Graham Stuart,,45
Rod Wallace,,45
Juan Pablo Ángel,,44
Ilkay Gündogan,,44
Leon Osman,,44
Noel Whelan,,44
Shola Ameobi,,43
Marko Arnautovic,,43
Demba Ba,,43
David Hirst,,43
Frederic Kanoute,,43
Jonathan Walters,,43
Ashley Barnes,,42
Kelechi Iheanacho,,42
Paul Ince,,42
Julian Joachim,,42
Andrei Kanchelskis,,42
Marian Pahars,,42
Mikel Arteta,,41
Steve McManaman,,41
John Terry,,41
Marcus Bent,,40
Phil Foden,England,40
Steffen Iversen,,40
Kenwyne Jones,,40
Aaron Ramsey,,40
Matthew Taylor,,40
Roy Keane,,39
Steed Malbranque,,39
Bernardo Silva,Portugal,39
Patrik Berger,,38
Jarrod Bowen,England,38
John Carew,,38
Tore Andre Flo,,38
Darren Huckerby,,38
Aleksandar Mitrovic,,38
Dean Sturridge,,38
David Unsworth,,38
Darren Anderton,,37
Papiss Cissé,,37
Stewart Downing,,37
Kevin Doyle,,37
David Dunn,,37
Marouane Fellaini,,37
Don Hutchison,,37
Benni McCarthy,,37
Glenn Murray,,37
Bukayo Saka,England,37
Tim Sherwood,,37
Harvey Barnes,England,36
Paul Dickov,,36
Ruel Fox,,36
Salomon Kalou,,36
Aaron Lennon,,36
Brian McBride,,36
Samir Nasri,,36
Peter Odemwingie,,36
Jason Roberts,,36
Salomón Rondón,,36
John Spencer,,36
Jordan Ayew,Ghana,35
Wilfried Bony,,35
Benito Carbone,,35
Florent Malouda,,35
Tomasz Radzinski,,35
Charlie Austin,,34
Mikael Forssell,,34
Marcus Gayle,,34
Muzzy Izzet,,34
Robert Lee,,34
Peter Ndlovu,,34
Morten Pedersen,,"3,4"
Dennis Wise,,34
Charlie Adam,,33
Iain Dowie,,33
Jordan Henderson,,33
Cameron Jerome,,33
Adam Lallana,England,33
Ian Marshall,,33
Mesut Özil,,33
Jamie Redknapp,,33
Ivan Toney,England,33
Ashley Ward,,33
Leighton Baines,,32
Nicklas Bendtner,,32
Djibril Cissé,,32
Abdoulaye Doucouré,Mali,32
Jermaine Jenas,,32
Adam Johnson,,32
James Morrison,,32
Shaun Wright-Phillips,,32
Ross Barkley,England,31
Yossi Benayoun,,31
Henri Camara,,31
Craig Gardner,,31
Rickie Lambert,,31
Hamilton Ricard,,31
Patrick Vieira,,31
Jason Wilcox,,31
Sylvain Wiltord,,31
Oyvind Leonhardsen,,30
Gabriel Martinelli,Brazil,30
Neal Maupay,France,30
Leandro Trossard,Belgium,30
Luís Boa Morte,,29
Nicky Butt,,29
Malcolm Christie,,29
Juninho Paulista,,29
Pascal Groß,Germany,29
Nikica Jelavic,,29
Jürgen Klinsmann,,29
Jesse Lingard,,29
Savo Milosevic,,29
Kevin Mirallas,,29
Egil Ostenstad,,29
Paul Pogba,,29
Paul Rideout,,29
Hugo Rodallega,,29
Pedro,,29
Uwe Rösler,,29
Ian Taylor,,29
John Barnes,,28
Milan Baros,,28
Gary Cahill,,28
Carl Cort,,28
El Hadji Diouf,,28
Marlon Harewood,,28
Ian Harte,,28
Heidar Helguson,,28
Paul Kitson,,28
Obafemi Martins,,28
Luka Milivojevic,,28
Charles N'Zogbia,,28
Nathan Redmond,England,28
Loïc Rémy,,28
Simon Davies,,27
Mame Diouf,,27
Lee Hendrie,,27
Heidar Helguson,,28
Paul Kitson,,28
Obafemi Martins,,28
Luka Milivojevic,,28
Charles N'Zogbia,,28
Nathan Redmond,England,28
Loïc Rémy,,28
Simon Davies,,27
Mame Diouf,,27
Lee Hendrie,,27
Marcos Alonso,,26
Victor Anichebe,,26
Joey Barton,,26
Yohan Cabaye,,26
Dwight Gayle,,26
Jack Grealish,England,26
Sebastian Larsson,,26
Benjani,,26
Roque Santa Cruz,,26
Robert Snodgrass,,26
Junior Stanislas,,26
Marcus Stewart,,26
Andros Townsend,England,26
Steve Watson,,26
David White,,26
Ché Adams,,25
Andy Booth,,25
Santi Cazorla,,25
Jan Åge Fjørtoft,,25
William Gallas,,25
Francis Jeffers,,25
Marc Overmars,,25
Mick Quinn,,25
Fabrizio Ravanelli,,25
Mark Robins,,25
Leroy Sané,,25
Stéphane Sessègnon,,25
